"thing_author_id","key.event","comments_count","collection_count","downloads_count","files_count","thing_like_count","made_count","remix_count","remixed_froms_count","views_count","tags_count","design.strategy","ES1","ES2","ES3","ES4"
"magic845","2",0,0,29,1,0,0,0,1,144,1,"free-riding",1,0,0,0
"magicaltrevor","2",0,14,473,8,4,0,0,7,3637,6,"blended",0,1,0,0
"magicaltrevor","3",1,14,131,1,7,0,1,2,994,1,"free-riding",0,1,0,0
"MagicalUploader","2",0,0,46,1,1,0,0,0,455,0,"private",0,1,0,0
"Magicasaurous","1",20,114,1666,7,108,4,1,0,5690,14,"private",0.666666666666667,0.333333333333333,0,0
"MagicDan","1",7,14,1035,5,14,0,0,0,2884,19,"private",1,0,0,0
"MagicDan","2",0,0,64,2,2,0,0,2,409,2,"free-riding",0,1,0,0
"MagicDan","3",0,2,100,9,8,0,0,9,435,9,"free-riding",0.333333333333333,0.666666666666667,0,0
"magicdominic","2",2,30,939,1,18,4,0,1,4593,3,"free-riding",0,1,0,0
"Magician","1",3,37,1102,4,22,0,0,0,4143,0,"private",0,1,0,0
"magicmaster","2",0,1,52,2,0,0,0,2,724,2,"free-riding",0.5,0.5,0,0
"magicmichael","3",0,0,10,1,0,0,0,1,66,1,"free-riding",0,1,0,0
"magicmodel","1",0,8,319,1,5,0,0,0,1594,7,"private",0,1,0,0
"magicmodel","3",0,0,10,1,0,0,0,1,37,0,"free-riding",0,1,0,0
"magico13","1",0,1,327,2,1,0,0,0,1134,5,"private",0,1,0,0
"MagicPanda7","3",0,0,12,1,0,0,0,1,51,1,"free-riding",0,1,0,0
"magicrobots","2",1,17,616,11,37,0,0,0,1434,10,"private",1,0,0,0
"MagicRules","3",0,2,54,1,4,0,0,0,278,0,"private",1,0,0,0
"magicstick","3",0,9,312,6,21,0,0,0,686,11,"private",0,1,0,0
"magicxman","2",5,245,1271,6,144,6,3,0,9062,8,"private",0,1,0,0
"magicxman","3",0,15,148,2,11,0,0,0,907,0,"private",0,1,0,0
"magiserarols","3",0,24,140,3,25,0,0,0,911,3,"private",0,1,0,0
"magma83","3",1,7,66,1,7,0,1,0,658,11,"private",0,1,0,0
"Magnabatt","2",0,0,32,1,0,0,0,1,170,1,"free-riding",0,1,0,0
"magnacarte1133","3",0,19,605,19,26,0,0,7,4272,11,"blended",0.25,0.75,0,0
"magneon","2",3,4,208,3,4,0,0,1,958,0,"free-riding",1,0,0,0
"magneon","3",0,4,45,1,3,0,0,0,367,5,"private",1,0,0,0
"Magnevik","3",1,3,127,3,4,0,0,0,1001,0,"private",0,0,0,1
"magnobraw","3",0,0,302,28,1,0,0,28,1629,21,"free-riding",0.466666666666667,0.533333333333333,0,0
"magnolia42","2",0,0,36,1,0,0,0,1,159,1,"free-riding",0,1,0,0
"magnorj","2",0,0,55,1,0,0,0,1,258,0,"free-riding",0,0,0,1
"magnorj","3",0,0,16,1,0,0,0,1,58,1,"free-riding",0,1,0,0
"magnum","3",1,6,151,3,7,1,1,2,1091,1,"blended",0,1,0,0
"magnusgreni","1",0,0,106,1,0,0,0,0,537,0,"private",0,1,0,0
"magnuznilzzon","3",0,4,92,2,2,0,0,0,852,0,"private",0,1,0,0
"Mags","1",0,0,480,2,0,0,0,0,1596,9,"private",0,1,0,0
"magspags","3",0,0,29,1,0,0,0,1,85,0,"free-riding",0,1,0,0
"magtec","2",0,3,65,1,5,0,0,0,756,6,"private",0,1,0,0
"magu","3",8,141,1323,18,106,4,15,3,10285,11,"blended",0.5,0.5,0,0
"maguyverofsoul","2",0,0,35,1,0,0,0,1,159,1,"free-riding",0,1,0,0
"mah_digilife","1",28,217,8594,35,193,16,0,0,36910,39,"private",0,0.111111111111111,0,0.888888888888889
"mah_digilife","2",2,13,169,2,11,0,0,0,1877,6,"private",0,1,0,0
"mahannaha","3",0,1,350,35,1,0,0,32,1983,25,"blended",0.0588235294117647,0.941176470588235,0,0
"mahdidesign","3",0,11,120,4,6,0,0,0,461,0,"private",0,1,0,0
"mahernandez","2",0,0,86,2,2,0,0,1,669,0,"blended",0,1,0,0
"mahernandez","3",1,0,153,10,0,0,0,1,665,1,"blended",0,1,0,0
"mahnee","3",0,3,61,1,6,0,0,0,349,0,"private",1,0,0,0
"mahnyi","3",0,0,54,2,0,0,0,1,366,1,"blended",0.5,0.5,0,0
"Maho","3",0,0,48,3,0,0,0,3,256,3,"free-riding",0.5,0.5,0,0
"Mahoney","1",10,429,15265,7,329,128,9,1,71895,4,"blended",0,1,0,0
"mahorthy","3",0,0,16,1,1,0,0,1,68,1,"free-riding",0,1,0,0
"mahow","3",0,3,34,1,5,0,0,0,168,0,"private",0,1,0,0
"mahskeeter","3",0,1,115,9,0,0,0,3,316,3,"free-riding",0,1,0,0
"mahtt","2",0,0,29,1,0,0,0,1,154,1,"free-riding",0,0,0,1
"MAIA-WORKS","2",0,0,20,0,0,0,0,0,297,0,"private",0,1,0,0
"MaikaiGuy","2",28,491,6726,46,336,10,3,2,56066,46,"blended",0,1,0,0
"MaikaiGuy","3",5,32,326,8,36,0,0,0,1364,5,"private",0,1,0,0
"Maikel709","2",0,0,93,2,0,0,0,2,431,2,"free-riding",0,1,0,0
"mail4hilla","2",0,0,61,3,0,0,0,3,361,3,"free-riding",0,1,0,0
"mailbear","3",0,1,37,9,0,0,0,5,237,0,"free-riding",0,0.5,0,0.5
"maintainweb","2",0,49,1975,58,10,0,0,58,11674,52,"free-riding",0.291666666666667,0.666666666666667,0,0.0416666666666667
"Maitor","2",1,29,462,6,29,1,0,0,2341,3,"private",0,1,0,0
"Maitor","3",5,45,1517,63,61,1,1,0,2842,4,"private",0,1,0,0
"maitrella","3",0,0,16,1,0,0,0,1,72,1,"free-riding",0,1,0,0
"maitreni","2",0,0,36,2,0,0,0,2,182,1,"free-riding",0,1,0,0
"maitreni","3",0,0,38,2,0,0,0,2,197,1,"free-riding",0,1,0,0
"majassow","2",0,6,108,1,9,1,0,1,1166,0,"free-riding",0,1,0,0
"majd","2",0,0,33,1,0,0,0,1,168,1,"free-riding",0,1,0,0
"majfvher","3",0,0,23,1,0,0,0,1,100,1,"free-riding",0,0,0,1
"Majh27","2",0,3,293,2,3,0,0,1,1994,7,"blended",0,1,0,0
"Majh27","3",0,0,50,3,0,0,0,1,143,3,"blended",0,1,0,0
"majic79","3",0,2,40,1,7,1,0,0,386,0,"private",0,1,0,0
"majklovec","2",0,0,28,1,0,0,0,1,175,1,"free-riding",1,0,0,0
"majklovec","3",0,1,51,1,0,0,0,1,219,1,"free-riding",0,1,0,0
"Majky","3",0,2,29,1,0,0,0,0,176,0,"private",0,1,0,0
"Majky555","2",0,1,67,1,0,0,0,0,387,0,"private",0,1,0,0
"majoor","3",0,0,13,1,0,0,0,1,61,1,"free-riding",0,1,0,0
"Major2214","2",0,0,66,2,0,0,0,2,305,2,"free-riding",0,1,0,0
"majorbuzzkilz","3",1,0,19,1,0,0,0,1,75,1,"free-riding",0,1,0,0
"MajorHavok","2",0,14,94,1,10,0,0,0,538,0,"private",0,1,0,0
"majornucience","2",0,0,103,2,0,0,0,2,503,2,"free-riding",0,1,0,0
"majorrom","2",0,7,440,11,7,0,0,4,1930,13,"blended",0,1,0,0
"majorrom","3",1,24,292,7,28,0,0,6,1363,5,"blended",0,1,0,0
"Majosan","2",0,0,273,7,0,0,0,7,1297,5,"free-riding",1,0,0,0
"majs27","3",0,0,52,3,0,0,0,3,263,3,"free-riding",0,1,0,0
"Mak-a-face","3",20,415,3076,20,271,12,4,5,19684,59,"blended",0,1,0,0
"mak0ski","2",0,0,39,1,0,0,0,1,172,0,"free-riding",0,1,0,0
"Mak3r","3",0,3,790,26,5,0,0,0,790,5,"private",0,1,0,0
"Mak3rMark","2",2,10,386,4,5,0,0,0,2726,0,"private",0,1,0,0
"makafarai","2",0,1,147,3,0,0,0,3,806,3,"free-riding",0,1,0,0
"MAKE","1",3,76,2657,15,75,0,0,0,4576,3,"private",0,1,0,0
"MAKE","2",30,2103,30709,16,1421,147,10,1,133389,28,"blended",0,1,0,0
"MAKE","3",7,192,806,2,178,1,0,0,4871,0,"private",0,1,0,0
"MAKE-PARTS","1",3,13,590,2,11,1,0,0,4454,1,"private",0,0,0,1
"Make_a_tronik","2",0,10,200,2,11,0,0,0,1753,8,"private",0,1,0,0
"Make3Dca","2",2,66,1400,4,58,8,0,1,5588,9,"blended",0.5,0.5,0,0
"make578","3",0,0,25,1,0,0,0,1,92,1,"free-riding",0,1,0,0
"MakeALot","1",455,4767,105450,412,4204,382,46,23,475970,289,"blended",0.028169014084507,0.915492957746479,0,0.0563380281690141
"MakeALot","2",193,3494,43788,126,2771,56,25,16,268684,109,"blended",0,1,0,0
"MakeALot","3",41,568,8039,82,697,25,7,9,30958,118,"blended",0,1,0,0
"MakeASandwhich","2",0,0,30,1,0,0,0,1,152,1,"free-riding",0,1,0,0
"makecupcakes","2",0,0,36,1,0,0,0,2,260,2,"free-riding",0,1,0,0
"makedave","1",17,307,6146,19,252,5,6,1,42128,8,"blended",0,1,0,0
"makedave","2",8,101,1635,13,76,1,2,2,17077,3,"blended",0,1,0,0
"makedave","3",13,39,852,23,62,0,0,0,3032,1,"private",0,1,0,0
"makedonskayasa","3",0,0,83,4,0,0,0,4,283,4,"free-riding",1,0,0,0
"MakeIt3D","3",0,10,550,5,14,1,0,0,2112,21,"private",0,1,0,0
"Makekong","3",0,2,32,3,2,0,0,0,161,1,"private",0,1,0,0
"MAKELAB","3",0,7,70,1,3,0,0,0,363,0,"private",0,1,0,0
"makelab9","3",0,0,18,1,0,0,0,1,72,1,"free-riding",1,0,0,0
"MakeLabs","3",0,14,390,9,19,0,0,1,2918,0,"blended",0,1,0,0
"makeme","1",1,112,2335,10,90,1,3,1,10924,16,"blended",1,0,0,0
"maken1964","2",0,0,43,1,1,0,0,0,246,0,"private",0,1,0,0
"maken1964","3",0,0,199,11,0,0,0,11,713,9,"free-riding",1,0,0,0
"makenai","2",12,168,1089,4,128,9,0,0,8909,2,"private",0,1,0,0
"makenai","3",0,23,324,13,21,0,0,0,1960,2,"private",0,1,0,0
"MakeOrBreak","2",0,0,103,2,0,0,0,2,364,2,"free-riding",0,1,0,0
"makeplace","2",18,1068,6231,5,836,44,2,0,21713,7,"private",0,1,0,0
"maker","1",0,0,136,1,0,0,0,0,543,0,"private",0,1,0,0
"maker_kids","3",0,0,434,14,4,0,0,0,3012,8,"private",0,1,0,0
"maker_workshop","2",8,121,3066,39,104,3,2,1,11935,17,"blended",0.444444444444444,0.555555555555556,0,0
"Maker001","2",0,0,62,3,0,0,0,3,343,3,"free-riding",0,1,0,0
"Maker23","2",0,16,310,1,18,0,0,0,4890,7,"private",1,0,0,0
"Maker66","2",3,9,91,1,9,0,0,0,818,1,"private",0,1,0,0
"MakerAdvocate","2",0,0,120,3,0,0,0,3,568,1,"free-riding",0,1,0,0
"makerbeam","1",15,157,3145,7,123,5,1,0,12039,13,"private",0,1,0,0
"makerbear","2",0,0,24,1,0,0,0,1,168,0,"free-riding",0,1,0,0
"makerbear","3",0,0,139,4,0,0,0,4,691,4,"free-riding",0.25,0.75,0,0
"MakerBeck","1",8,256,6865,32,179,6,3,0,23277,40,"private",0.25,0.75,0,0
"MakerBeck","2",10,238,6184,54,165,4,0,11,27104,107,"blended",0,1,0,0
"MakerBeck","3",10,10,1529,34,27,0,0,1,6604,41,"blended",0.333333333333333,0.666666666666667,0,0
"makerbee","3",0,0,25,1,0,0,0,1,87,1,"free-riding",0,1,0,0
"makerben5","3",0,0,14,1,0,0,0,1,83,1,"free-riding",0,1,0,0
"MakerBlock","1",342,2654,112645,447,2268,131,49,51,494941,691,"blended",0.073394495412844,0.853211009174312,0,0.073394495412844
"MakerBlock","2",71,901,15037,97,662,13,385,22,93079,141,"blended",0.136363636363636,0.818181818181818,0,0.0454545454545455
"MakerBlock","3",27,545,4362,34,625,13,9,9,35530,26,"free-riding",0.714285714285714,0.285714285714286,0,0
"makerblot","1",12,84,3297,16,71,1,1,0,14447,23,"private",0,1,0,0
"makerblot","2",3,5,332,2,5,0,0,0,2746,16,"private",0,1,0,0
"MakerBobDesigns","2",34,625,11872,79,425,7,294,22,55461,95,"blended",0.133333333333333,0.866666666666667,0,0
"MakerBobDesigns","3",13,296,2422,46,259,1,1,4,10105,10,"blended",0.333333333333333,0.666666666666667,0,0
"Makerboost","3",0,0,21,1,0,0,0,1,84,1,"free-riding",0,1,0,0
"MakerBot","1",813,13697,354822,600,11428,878,176,27,1462368,973,"blended",0.0526315789473684,0.565789473684211,0,0.381578947368421
"MakerBot","2",631,16247,245197,547,13771,628,12929,17,1704297,404,"blended",0.0476190476190476,0.952380952380952,0,0
"MakerBot","3",302,5783,73591,441,7236,173,27,1,307278,198,"blended",0,1,0,0
"MakerBot100","3",0,0,25,2,0,0,0,2,111,1,"free-riding",0,1,0,0
"makerbot12","3",0,0,90,8,0,0,0,4,286,4,"free-riding",0,1,0,0
"makerbot1234567890","2",0,0,26,1,0,0,0,1,145,0,"free-riding",0,1,0,0
"Makerbot14","3",0,1,17,1,0,0,0,0,191,1,"private",0,1,0,0
"Makerbot99","3",0,2,502,33,8,0,0,24,1951,22,"free-riding",0.416666666666667,0.583333333333333,0,0
"makerbotalessio","3",0,0,34,2,0,0,0,2,155,2,"free-riding",0.5,0.5,0,0
"MakerBotAri","2",0,1,80,1,2,0,0,0,794,3,"private",0,0,0,1
"MakerBotBostonRetail","3",2,9,275,8,12,0,0,2,1401,0,"blended",0,1,0,0
"MakerBotFantastic","3",0,0,20,1,0,0,0,1,81,0,"free-riding",0,1,0,0
"MakerbotGreenwich","3",0,0,18,1,0,0,0,1,51,0,"free-riding",0,1,0,0
"makerbotjoe","2",0,0,273,11,0,0,0,11,1351,11,"free-riding",0.666666666666667,0.333333333333333,0,0
"makerbotorg","2",1,80,1897,38,40,0,0,16,12480,19,"blended",0.2,0.8,0,0
"MakerbotSerb","1",2,11,468,2,9,1,0,0,5171,3,"private",0,1,0,0
"MakerbotSerb","2",0,0,190,4,1,0,0,4,942,4,"free-riding",0,1,0,0
"makerbotspace","1",2,22,758,3,20,0,1,0,3700,0,"private",0.333333333333333,0.333333333333333,0,0.333333333333333
